method,mean_gmean,mean_worst_recall,mean_rank
gpmr_linear,0.6866039976528568,0.5592131809526227,2.511111111111111
gpmr_duplicate,0.6757686878681733,0.5501598173527442,2.7555555555555555
gpmr_barycenter,0.6748949087780625,0.5477384740808391,2.8555555555555556
soup,0.66956363030541,0.5431685797770217,3.2888888888888888
gmm_sampling,0.6682782070697888,0.5287314494493697,3.588888888888889
