comparison,blocks,wins,ties,losses,mean_delta,median_delta,wilcoxon_pvalue
gpmr_full vs addition_objective_only,45,28,0,17,0.013706589115842258,0.002021529731062066,0.07433860130646508
gpmr_full vs no_capacity,45,25,0,20,-0.0003602395871591181,0.0003184269678524476,0.7205201468991618
gpmr_full vs removal_objective_only,45,28,0,17,0.003230290461176099,0.0007548372962490335,0.06714044609640268
gpmr_full vs uniform_mass,45,29,0,16,0.018327846090324465,0.002455669112279235,0.01963613533774833
