method,mean_delta,p,n,p_holm
uniform_mass,0.018327846090324455,0.12054443359375,15,0.482177734375
addition_objective_only,0.013706589115842263,0.1688232421875,15,0.5064697265625
removal_objective_only,0.0032302904611760793,0.207763671875,15,0.5064697265625
no_capacity,-0.00036023958715911407,0.5994873046875,15,0.5994873046875
