dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1,sampling_seconds,train_after,rank
balance,cart,addition_objective_only,0.46310689779122816,0.2303754789272031,0.5990732002419843,0.5942003594884581,0.008617263995110988,348.0,4.0
balance,cart,gpmr_full,0.5863643898086471,0.3835708812260536,0.6346013309134907,0.6125427682789878,0.007977854004129767,348.0,2.0
balance,cart,no_capacity,0.5876287898710738,0.3886053639846743,0.6382226255293406,0.6151960365060589,0.007805172000080347,348.0,1.0
balance,cart,removal_objective_only,0.5609364881528035,0.3541226053639847,0.6199310344827587,0.6024956327294319,0.008342531996313483,348.0,3.0
balance,cart,uniform_mass,0.4294008443156966,0.22237547892720308,0.6018531962089131,0.595569160512021,0.008671878001186996,348.0,5.0
balance,knn,addition_objective_only,0.6189043269503413,0.4723020770316596,0.6402402366068428,0.5987862207147476,0.008617263995110988,348.0,4.0
balance,knn,gpmr_full,0.723531601640059,0.6397205081669691,0.7300266182698125,0.6360966436144306,0.007977854004129767,348.0,2.0
balance,knn,no_capacity,0.7288590432304923,0.6376019358741681,0.736140350877193,0.6390927439350991,0.007805172000080347,348.0,1.0
balance,knn,removal_objective_only,0.7188081880259753,0.6305323653962492,0.7259524097600323,0.6333468486640698,0.008342531996313483,348.0,3.0
balance,knn,uniform_mass,0.6172472590898832,0.46477273643879813,0.6401450561269073,0.5994668100065952,0.008671878001186996,348.0,5.0
balance,rf,addition_objective_only,0.2935979104679786,0.13266666666666668,0.5860774349667272,0.5884578901977686,0.008617263995110988,348.0,4.0
balance,rf,gpmr_full,0.5396151628462789,0.3107662835249042,0.6321193789070376,0.6196784011934063,0.007977854004129767,348.0,3.0
balance,rf,no_capacity,0.5733820342238141,0.3427662835249042,0.6445545472877596,0.6282864130414668,0.007805172000080347,348.0,1.0
balance,rf,removal_objective_only,0.5654076163047997,0.3267662835249043,0.6342141560798548,0.6209511517098498,0.008342531996313483,348.0,2.0
balance,rf,uniform_mass,0.2564457898093021,0.12666666666666665,0.5871002218189151,0.5885093371255583,0.008671878001186996,348.0,5.0
car,cart,addition_objective_only,0.9426169830124133,0.8791541472881186,0.9439791667662482,0.9240698386035411,0.05356197400484234,724.0,1.0
car,cart,gpmr_full,0.932037736644819,0.8686702770913297,0.933438678546334,0.8962379040004307,0.05354093000525609,724.0,5.0
car,cart,no_capacity,0.9365421242965805,0.871759914726422,0.9379894328159878,0.9016488932583997,0.05116333600366488,724.0,2.0
car,cart,removal_objective_only,0.9332657501891494,0.8750566180231252,0.9346303875550287,0.8963321276859045,0.05517351599643007,724.0,3.0
car,cart,uniform_mass,0.9326759070470761,0.8685850752118696,0.9340467307811805,0.9158597818289868,0.05462288999930024,724.0,4.0
car,knn,addition_objective_only,0.6846922671696793,0.5600045409136318,0.6927264003938645,0.5020550822667625,0.05356197400484234,724.0,1.0
car,knn,gpmr_full,0.6648196856915252,0.5212696394514577,0.6757949586298869,0.4809230181283491,0.05354093000525609,724.0,3.0
car,knn,no_capacity,0.6443462943869878,0.5160693851602942,0.6544425670023756,0.4762700315604282,0.05116333600366488,724.0,5.0
car,knn,removal_objective_only,0.6592680498435287,0.5176668785759695,0.6696411662500179,0.47589661873316047,0.05517351599643007,724.0,4.0
car,knn,uniform_mass,0.6737244236866983,0.550415947688675,0.6823972797537391,0.49307175761383104,0.05462288999930024,724.0,2.0
car,rf,addition_objective_only,0.9365671342912646,0.8699872854418309,0.9380522109469477,0.896590116214614,0.05356197400484234,724.0,1.0
car,rf,gpmr_full,0.9191775977227721,0.8290418672236853,0.9217851526463967,0.8636280631386516,0.05354093000525609,724.0,3.0
car,rf,no_capacity,0.9145736048147991,0.8245509036418127,0.9171023055891477,0.8607656007770649,0.05116333600366488,724.0,5.0
car,rf,removal_objective_only,0.9181437207244728,0.8269321587503405,0.9207208700390518,0.8619461063846221,0.05517351599643007,724.0,4.0
car,rf,uniform_mass,0.9339340023629513,0.8627763145944963,0.9355837165227118,0.8966316071661586,0.05462288999930024,724.0,2.0
cleveland,cart,addition_objective_only,0.08974620414147819,0.04418181818181818,0.28314069264069264,0.27114104103573416,0.00782874200725928,133.0,2.0
cleveland,cart,gpmr_full,0.07287340026101159,0.032467532467532464,0.284119264069264,0.26692491299896287,0.00714834600687027,133.0,3.0
cleveland,cart,no_capacity,0.10054998052429537,0.053417207792207794,0.29478766233766235,0.2788492477013658,0.007068659998476505,133.0,1.0
cleveland,cart,removal_objective_only,0.06998479834242492,0.03012987012987013,0.28695021645021646,0.2686239474887753,0.0076427380135282875,133.0,4.0
cleveland,cart,uniform_mass,0.06136800497844022,0.032467532467532464,0.2837955627705628,0.2732101714949098,0.007980272001586854,133.0,5.0
