method,mean_delta,p,n,p_holm
uniform_mass,0.018327846090324465,0.01963613533774833,45,0.07854454135099331
removal_objective_only,0.003230290461176099,0.06714044609640268,45,0.20142133828920805
addition_objective_only,0.013706589115842258,0.07433860130646508,45,0.20142133828920805
no_capacity,-0.0003602395871591181,0.7205201468991618,45,0.7205201468991618
