method,mean_gmean,mean_worst_recall,mean_rank,sampling_seconds,train_after
gpmr_full,0.6819638524230932,0.549461751515381,2.5555555555555554,0.05711350840174903,1483.96
no_capacity,0.6823240920102523,0.548959299321583,2.977777777777778,0.04808672386733815,1483.96
removal_objective_only,0.678733561961917,0.5482967427626851,3.0,0.05708924119966105,1483.96
addition_objective_only,0.668257263307251,0.5373847285195426,3.0444444444444443,0.055011196535546335,1483.96
uniform_mass,0.6636360063327688,0.5363289485278763,3.422222222222222,0.055494499062964074,1483.96
